"School","PY","Times Cited"
"Alberta","2012",13.7507886435331
"Alberta","2013",10.7079889807163
"Alberta","2014",9.23466666666667
"Alberta","2015",5.97794117647059
"Alberta","2016",2.45022624434389
"Laval","2012",17.6842105263158
"Laval","2013",11.7611940298507
"Laval","2014",10.3943661971831
"Laval","2015",13.0833333333333
"Laval","2016",2.03225806451613
"McGill","2012",12.6105769230769
"McGill","2013",11.1296296296296
"McGill","2014",8.8544776119403
"McGill","2015",5.78832116788321
"McGill","2016",2.28834355828221
"McMaster","2012",13.7173913043478
"McMaster","2013",13.3333333333333
"McMaster","2014",9.19512195121951
"McMaster","2015",6.06930693069307
"McMaster","2016",3.41836734693878
"Montreal","2012",11.6814159292035
"Montreal","2013",12.6507936507937
"Montreal","2014",7.92660550458716
"Montreal","2015",5.91891891891892
"Montreal","2016",1.76595744680851
"Ottawa","2012",18.7441860465116
"Ottawa","2013",14.86
"Ottawa","2014",17.5111111111111
"Ottawa","2015",9.14655172413793
"Ottawa","2016",4.0495867768595
"Queens","2012",16.0539083557951
"Queens","2013",11.6286472148541
"Queens","2014",8.1425
"Queens","2015",6.25352112676056
"Queens","2016",2.99503722084367
"Saskatchewan","2012",10.7592592592593
"Saskatchewan","2013",13.2435897435897
"Saskatchewan","2014",10.9090909090909
"Saskatchewan","2015",5.66666666666667
"Saskatchewan","2016",3.14285714285714
"Toronto","2012",26.6985294117647
"Toronto","2013",18.5625
"Toronto","2014",12.8175182481752
"Toronto","2015",7.91205211726384
"Toronto","2016",6.07552870090634
"UBC","2012",14.3621399176955
"UBC","2013",12.641592920354
"UBC","2014",8.9140625
"UBC","2015",7.23420074349442
"UBC","2016",4.90421455938697
"Waterloo","2012",19.4306220095694
"Waterloo","2013",17.4664179104478
"Waterloo","2014",10.4290657439446
"Waterloo","2015",8.02647058823529
"Waterloo","2016",4.22742474916388
"Western","2012",18.2845528455285
"Western","2013",14.1428571428571
"Western","2014",9.22627737226277
"Western","2015",7.10294117647059
"Western","2016",4.07203389830508
