"School","Times Cited"
"Alberta",7.31827886352439
"Calgary",5.13363904356371
"Dalhousie",5.10277033065237
"Manitoba",5.5978670012547
"McGill",6.54900398406375
"McMaster",6.73953301127214
"Montreal",6.71960297766749
"Ottawa",5.96002933626696
"Saskatchewan",6.48405797101449
"Toronto",9.74017939993814
"UBC",7.10156609857209
"Waterloo",7.83565774594798
"Western",8.53076582558654
"Laval",6.93602693602694
"Queens",6.94110429447853
