"School","2012","2013","2014","2015","2016"
"Alberta",7.6,8,8.6,9.4,10
"CarnegieMellon",5,5.1,6.2,5.9,6
"ColoradoBoulder",8.4,9.8,9.4,9.3,9.7
"Duke",5.7,6.3,6.7,7.2,7.8
"Florida",5.5,4.7,4.8,5,5.4
"GeorgiaTech",6.4,6.5,7.2,7.4,7.9
"IllinoisUC",4.6,7.3,7.6,5.5,NA
"Michigan",6.6,7.4,7.6,7.6,8
"Minnesota",7.5,7,7.1,6.6,7.6
"UTAustin",5.7,6.1,6.5,5.9,6.3
"Wisconsin",5.1,4.9,5.1,5.7,6
